category_id,name,last_update
1,Action,2022-02-15 11:46:27+02:00
2,Animation,2022-02-15 11:46:27+02:00
3,Children,2022-02-15 11:46:27+02:00
4,Classics,2022-02-15 11:46:27+02:00
5,Comedy,2022-02-15 11:46:27+02:00
6,Documentary,2022-02-15 11:46:27+02:00
7,Drama,2022-02-15 11:46:27+02:00
8,Family,2022-02-15 11:46:27+02:00
9,Foreign,2022-02-15 11:46:27+02:00
10,Games,2022-02-15 11:46:27+02:00
11,Horror,2022-02-15 11:46:27+02:00
12,Music,2022-02-15 11:46:27+02:00
13,New,2022-02-15 11:46:27+02:00
14,Sci-Fi,2022-02-15 11:46:27+02:00
15,Sports,2022-02-15 11:46:27+02:00
16,Travel,2022-02-15 11:46:27+02:00
